project code,progress detail
0607299481,dealing with customer
0275546293,finished
0318853109,finished
0325215016,changing solution upon customer's requests
0648465488,finished
0393018802,actively ongoing
0157268553,finished
0876281807,finished
0636254171,customer review on solutions
0489271223,actively ongoing
0089206780,customer review on solutions
0371872916,actively ongoing
0502988959,changing solution upon customer's requests
0633104488,actively ongoing
0757804875,finished
0123130048,finished
0971051243,actively ongoing
0209594428,customer review on solutions
0750027221,actively ongoing
0440798076,changing solution upon customer's requests
0418696862,customer review on solutions
0483009738,finished
0485290283,finished
0405265639,actively ongoing
0966933201,finished
0472076057,finished
0728957120,actively ongoing
0672196637,customer review on solutions
0611693849,changing solution upon customer's requests
0755304419,actively ongoing
0985368977,finished
0907855901,actively ongoing
0575973913,changing solution upon customer's requests
0493320464,actively ongoing
0564388672,actively ongoing
0263733693,changing solution upon customer's requests
0656089956,finished
0290304508,actively ongoing
0963507046,finished
